Interval,Value
Dez-Fev,0.437
Dez-Fev,0.04
Dez-Fev,0.178
Dez-Fev,-0.307
Dez-Fev,-0.293
Dez-Fev,0.504
Dez-Fev,-0.357
Dez-Fev,-0.344
Dez-Fev,-0.533
Dez-Fev,0.383
Dez-Fev,-0.16
Dez-Fev,-0.721
Dez-Fev,0.352
Dez-Fev,-0.337
Dez-Fev,0.071
Dez-Fev,-0.221
Dez-Fev,0.043
Dez-Fev,0.081
Dez-Fev,0.138
Dez-Fev,0.382
Dez-Fev,0.769
Dez-Fev,0.216
Dez-Fev,0.541
Dez-Fev,-0.035
Dez-Fev,-0.41
Dez-Fev,0.405
Dez-Fev,0.641
Dez-Fev,0.811
Dez-Fev,0.307
Dez-Fev,0.738
Dez-Fev,0.578
Dez-Fev,0.613
Dez-Fev,0.61
Dez-Fev,0.239
Dez-Fev,1.144
Dez-Fev,0.482
Dez-Fev,0.651
Dez-Fev,1.059
Dez-Fev,1.256
Dez-Fev,0.939
Dez-Fev,0.539
Dez-Fev,1.323
Dez-Fev,0.874
Dez-Fev,1.263
Dez-Fev,0.83
Dez-Fev,1.056
Dez-Fev,1.573
Dez-Fev,0.652
Dez-Fev,0.99
Dez-Fev,0.993
Dez-Fev,0.627
Dez-Fev,0.739
Dez-Fev,0.914
Dez-Fev,0.928
Dez-Fev,1.497
Dez-Fev,2.107
Dez-Fev,1.638
Dez-Fev,1.427
Dez-Fev,1.415
Dez-Fev,2.13
Dez-Fev,1.306
Dez-Fev,1.441
Mar-Mai,0.305
Mar-Mai,0.043
Mar-Mai,-0.079
Mar-Mai,-0.176
Mar-Mai,-0.328
Mar-Mai,0.102
Mar-Mai,-0.022
Mar-Mai,-0.025
Mar-Mai,0.084
Mar-Mai,0.16
Mar-Mai,-0.071
Mar-Mai,-0.121
Mar-Mai,0.478
Mar-Mai,-0.083
Mar-Mai,0.24
Mar-Mai,-0.368
Mar-Mai,0.546
Mar-Mai,0.184
Mar-Mai,0.195
Mar-Mai,0.339
Mar-Mai,0.597
Mar-Mai,0.097
Mar-Mai,0.464
Mar-Mai,0.354
Mar-Mai,0.263
Mar-Mai,0.428
Mar-Mai,0.208
Mar-Mai,0.655
Mar-Mai,0.456
Mar-Mai,0.761
Mar-Mai,0.484
Mar-Mai,0.418
Mar-Mai,0.537
Mar-Mai,0.681
Mar-Mai,0.711
Mar-Mai,0.325
Mar-Mai,0.627
Mar-Mai,1.101
Mar-Mai,0.599
Mar-Mai,1.088
Mar-Mai,1.064
Mar-Mai,1.068
Mar-Mai,0.901
Mar-Mai,0.887
Mar-Mai,1.257
Mar-Mai,0.893
Mar-Mai,1.286
Mar-Mai,1.156
Mar-Mai,0.954
Mar-Mai,1.457
Mar-Mai,1.036
Mar-Mai,1.275
Mar-Mai,1.064
Mar-Mai,1.368
Mar-Mai,1.429
Mar-Mai,2.005
Mar-Mai,1.573
Mar-Mai,1.429
Mar-Mai,1.67
Mar-Mai,1.762
Mar-Mai,1.468
Mar-Mai,1.493
Jun-Ago,0.11
Jun-Ago,-0.08
Jun-Ago,0.088
Jun-Ago,-0.224
Jun-Ago,-0.187
Jun-Ago,0.237
Jun-Ago,-0.198
Jun-Ago,-0.215
Jun-Ago,-0.002
Jun-Ago,0.107
Jun-Ago,-0.094
Jun-Ago,0.081
Jun-Ago,0.3
Jun-Ago,-0.165
Jun-Ago,0.177
Jun-Ago,-0.247
Jun-Ago,0.206
Jun-Ago,-0.17
Jun-Ago,0.178
Jun-Ago,0.258
Jun-Ago,0.212
Jun-Ago,0.042
Jun-Ago,0.376
Jun-Ago,0.12
Jun-Ago,0.099
Jun-Ago,0.218
Jun-Ago,0.388
Jun-Ago,0.521
Jun-Ago,0.317
Jun-Ago,0.4
Jun-Ago,0.471
Jun-Ago,-0.08
Jun-Ago,0.289
Jun-Ago,0.452
Jun-Ago,0.725
Jun-Ago,0.388
Jun-Ago,0.619
Jun-Ago,1.125
Jun-Ago,0.64
Jun-Ago,0.609
Jun-Ago,0.838
Jun-Ago,0.904
Jun-Ago,0.829
Jun-Ago,0.533
Jun-Ago,0.98
Jun-Ago,1.017
Jun-Ago,0.846
Jun-Ago,0.833
Jun-Ago,0.838
Jun-Ago,1.173
Jun-Ago,1.044
Jun-Ago,1.132
Jun-Ago,0.963
Jun-Ago,1
Jun-Ago,1.255
Jun-Ago,1.352
Jun-Ago,1.261
Jun-Ago,1.145
Jun-Ago,1.278
Jun-Ago,1.343
Jun-Ago,1.498
Jun-Ago,1.374
Set-Nov,-0.01
Set-Nov,0.148
Set-Nov,0.483
Set-Nov,-0.278
Set-Nov,-0.085
Set-Nov,-0.037
Set-Nov,0.107
Set-Nov,0.08
Set-Nov,0.081
Set-Nov,-0.052
Set-Nov,-0.048
Set-Nov,-0.036
Set-Nov,-0.055
Set-Nov,-0.138
Set-Nov,-0.136
Set-Nov,-0.42
Set-Nov,0.281
Set-Nov,-0.09
Set-Nov,0.395
Set-Nov,0.35
Set-Nov,0.196
Set-Nov,-0.009
Set-Nov,0.459
Set-Nov,0.069
Set-Nov,-0.075
Set-Nov,-0.085
Set-Nov,0.376
Set-Nov,0.246
Set-Nov,0.246
Set-Nov,0.655
Set-Nov,0.339
Set-Nov,-0.214
Set-Nov,-0.045
Set-Nov,0.644
Set-Nov,0.752
Set-Nov,0.227
Set-Nov,0.728
Set-Nov,0.685
Set-Nov,0.638
Set-Nov,0.277
Set-Nov,0.895
Set-Nov,0.79
Set-Nov,0.966
Set-Nov,0.967
Set-Nov,1.314
Set-Nov,1.026
Set-Nov,1.076
Set-Nov,1.097
Set-Nov,1.046
Set-Nov,1.255
Set-Nov,0.98
Set-Nov,1.149
Set-Nov,1.124
Set-Nov,0.916
Set-Nov,1.466
Set-Nov,1.176
Set-Nov,1.243
Set-Nov,1.16
Set-Nov,1.412
Set-Nov,1.605
Set-Nov,1.515
Set-Nov,1.27
Anual,0.211
Anual,0.038
Anual,0.168
Anual,-0.246
Anual,-0.223
Anual,0.201
Anual,-0.117
Anual,-0.126
Anual,-0.092
Anual,0.15
Anual,-0.093
Anual,-0.199
Anual,0.269
Anual,-0.181
Anual,0.088
Anual,-0.314
Anual,0.269
Anual,0.001
Anual,0.226
Anual,0.332
Anual,0.443
Anual,0.086
Anual,0.46
Anual,0.127
Anual,-0.031
Anual,0.242
Anual,0.403
Anual,0.558
Anual,0.331
Anual,0.639
Anual,0.468
Anual,0.184
Anual,0.348
Anual,0.507
Anual,0.835
Anual,0.355
Anual,0.656
Anual,0.993
Anual,0.783
Anual,0.728
Anual,0.834
Anual,1.021
Anual,0.893
Anual,0.913
Anual,1.095
Anual,0.998
Anual,1.195
Anual,0.935
Anual,0.957
Anual,1.219
Anual,0.921
Anual,1.074
Anual,1.016
Anual,1.053
Anual,1.412
Anual,1.66
Anual,1.429
Anual,1.29
Anual,1.444
Anual,1.711
Anual,1.447
Anual,1.394
